Pixel871|Hi master!
SimStart|\^\_\^
PM\_ME\_FURRY\_STUFF|Hi sugar daddy!
Styx\_Renegade|Good Noodle!
ThrowawayNo621|òwó
soapbook|Hi Nemo :^)
Mr\_Meow|Traps aren't gay
forklift\_|scrambled eggs lol
EncoderMaster|SGVsbG8gTGVudGlhLCB5b3UgZnVja2luZyBmdXJmYWcu
SonicCharmeleon|GP2 ENGINE! GP2!
\_Roth\_|Remember type \\ before the \_ when typing your name.
SnoTheLeopard|Did somebody say Tentacle Rape?
HotDiggityDamnSon|ohmygod, a popufur! *faints*
NUCLEAR\_FURRY|Warning: Radiation levels higher than normal!
dedit8|Look at this fag
KolFoxy|Does the foxy feel yiffy? I know you do owo
xepherxv|(pm him lucario yiff)
TheClevelandHockey|Hi Bert!
FurryPornAccount|UwU all for you
LikulausShorts|Hi Shorts! Don't forget it's laundry day!
